 written on 26Oct2020 at 15:32:52 
  -1.61399000000000       0.000000000000000E+000   1.61399000000000     
  0.000000000000000E+000   1.61399000000000        1.61399000000000     
  -1.61399000000000        1.61399000000000       0.000000000000000E+000
           4
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    1    2   -0.85402675E-02 -0.12709558E-08
    2    2    0.73784758E-02 -0.18091176E-09
    3    2   -0.85402722E-02 -0.71506717E-10
    4    2   -0.85402707E-02  0.79178715E-09
    1    3   -0.85402695E-02 -0.93771124E-09
    2    3   -0.85402687E-02 -0.31269731E-09
    3    3    0.73784754E-02  0.38338674E-09
    4    3   -0.85402717E-02 -0.10212954E-09
    1    4   -0.85402707E-02 -0.12263688E-08
    2    4   -0.85402687E-02  0.92154227E-09
    3    4   -0.85402680E-02  0.46480628E-09
    4    4    0.73784759E-02 -0.70174902E-09

   -1    0   -1
    1    1   -0.88750798E-04  0.12329318E-08
    2    1    0.13490014E-01 -0.91047585E-09
    3    1   -0.85402715E-02  0.35240836E-09
    4    1    0.13490018E-01  0.78163893E-09
    1    2    0.10031798E+00  0.10794239E-09
    2    2   -0.12934225E-01 -0.39689414E-09
    3    2    0.30209091E-01 -0.28460735E-09
    4    2   -0.21538152E-01  0.99341761E-09
    1    3   -0.38176759E-01  0.20388415E-09
    2    3   -0.19883000E-02  0.11397219E-08
    3    3    0.31513799E-02 -0.75503706E-09
    4    3   -0.19883005E-02  0.11588933E-09
    1    4    0.10031798E+00 -0.25278431E-09
    2    4   -0.21538151E-01  0.21060466E-09
    3    4    0.30209095E-01  0.26975330E-09
    4    4   -0.12934225E-01 -0.80985543E-10

   -1    0    0
    1    1    0.90072608E+00 -0.15676752E-10
    2    1    0.10031798E+00 -0.25380314E-08
    3    1    0.10031798E+00 -0.13828786E-08
    4    1   -0.25466097E+00 -0.57632513E-09
    1    2   -0.61523842E+00  0.35340842E-08
    2    2   -0.24443525E+00 -0.16310434E-08
    3    2    0.32232675E-01  0.13290435E-08
    4    2    0.10031798E+00 -0.14122106E-08
    1    3   -0.61523841E+00 -0.50965284E-09
    2    3    0.32232676E-01 -0.12222695E-08
    3    3   -0.24443525E+00  0.56322888E-09
    4    3    0.10031798E+00  0.17988086E-08
    1    4   -0.20896483E+01 -0.36387153E-08
    2    4   -0.61523841E+00  0.21096633E-08
    3    4   -0.61523840E+00  0.16873013E-08
    4    4    0.90072608E+00  0.10835245E-08

   -1    0    1
    1    1   -0.24443525E+00  0.42009427E-09
    2    1   -0.61523840E+00  0.20848682E-09
    3    1    0.32232673E-01 -0.12526089E-08
    4    1    0.10031797E+00  0.47461604E-10
    1    2    0.10031798E+00 -0.63668871E-09
    2    2    0.90072608E+00 -0.41017514E-09
    3    2    0.10031797E+00  0.90734011E-09
    4    2   -0.25466097E+00 -0.18276651E-08
    1    3    0.32232674E-01 -0.15324231E-08
    2    3   -0.61523841E+00  0.33521560E-08
    3    3   -0.24443525E+00  0.97463159E-09
    4    3    0.10031798E+00 -0.57574496E-09
    1    4   -0.61523841E+00 -0.15767836E-08
    2    4   -0.20896483E+01 -0.35671275E-08
    3    4   -0.61523840E+00 -0.97897845E-09
    4    4    0.90072608E+00 -0.98457431E-09

   -1    0    2
    1    1   -0.12934225E-01  0.74131691E-09
    2    1    0.10031797E+00  0.12661383E-08
    3    1    0.30209093E-01 -0.73887215E-09
    4    1   -0.21538151E-01  0.19307724E-08
    1    2    0.13490018E-01 -0.11682742E-08
    2    2   -0.88752288E-04 -0.77361062E-10
    3    2   -0.85402719E-02 -0.16314534E-09
    4    2    0.13490015E-01  0.21576124E-08
    1    3   -0.19882991E-02 -0.14089419E-08
    2    3   -0.38176759E-01  0.13281239E-08
    3    3    0.31513806E-02  0.20500510E-09
    4    3   -0.19883003E-02 -0.14973815E-08
    1    4   -0.21538153E-01 -0.44775963E-09
    2    4    0.10031798E+00  0.76297509E-09
    3    4    0.30209096E-01 -0.62733604E-09
    4    4   -0.12934225E-01 -0.86899429E-09

   -1    1   -2
    1    1    0.15749601E-01 -0.39096134E-09
    2    1    0.15396611E-02  0.14130008E-08
    3    1   -0.19883011E-02  0.14597524E-08
    4    1   -0.79546418E-02  0.47662511E-09
    1    2    0.15396632E-02 -0.59713551E-09
    2    2    0.15749602E-01 -0.13761891E-09
    3    2   -0.19882992E-02 -0.11395473E-08
    4    2   -0.79546423E-02  0.80525886E-09
    1    3   -0.79546413E-02  0.13613638E-08
    2    3   -0.79546425E-02  0.12083693E-09
    3    3    0.12409574E-01 -0.20923194E-09
    4    3   -0.35022553E-02 -0.21865174E-09
    1    4   -0.19882995E-02 -0.86475541E-09
    2    4   -0.19883004E-02  0.12401075E-08
    3    4   -0.40231922E-02  0.55677056E-11
    4    4    0.12409574E-01  0.73780358E-09

   -1    1   -1
    1    1    0.15321719E-01  0.63707101E-09
    2    1    0.15396623E-02  0.58744632E-09
    3    1   -0.38176759E-01  0.76586601E-09
    4    1    0.15396630E-02 -0.14934028E-09
    1    2    0.32232672E-01  0.19189163E-08
    2    2    0.15321719E-01 -0.10611233E-08
    3    2    0.32232675E-01 -0.22812607E-09
    4    2   -0.38176759E-01  0.72723018E-09
    1    3   -0.38176756E-01  0.85025310E-09
