 written on 24Nov2020 at 11:41:47 
  -1.61399000000000       0.000000000000000E+000   1.61399000000000     
  0.000000000000000E+000   1.61399000000000        1.61399000000000     
  -1.61399000000000        1.61399000000000       0.000000000000000E+000
           4
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    2    3   -0.21538150E-01 -0.11687135E-08
    3    3    0.17684994E+00  0.32353447E-16
    4    3   -0.25466097E+00 -0.13135955E-08
    1    4   -0.21538153E-01  0.10150242E-08
    2    4   -0.21538150E-01  0.13500264E-08
    3    4   -0.25466097E+00  0.13135955E-08
    4    4    0.17684994E+00 -0.40692700E-17

   -2    2    1
    1    1    0.12409574E-01 -0.76145035E-10
    2    1   -0.40231880E-02  0.46083641E-09
    3    1   -0.19883023E-02 -0.66103353E-09
    4    1   -0.19883003E-02  0.10838902E-08
    1    2   -0.35022554E-02  0.50001246E-09
    2    2    0.12409575E-01  0.18816276E-09
    3    2   -0.79546395E-02  0.29039740E-09
    4    2   -0.79546402E-02 -0.48492178E-09
    1    3   -0.79546400E-02  0.46236293E-09
    2    3   -0.19883013E-02  0.34370315E-09
    3    3    0.15749601E-01  0.19740792E-09
    4    3    0.15396629E-02  0.34730190E-09
    1    4   -0.79546416E-02  0.14064498E-08
    2    4   -0.19882994E-02 -0.51412283E-09
    3    4    0.15396621E-02  0.52539909E-09
    4    4    0.15749602E-01 -0.30943628E-09

   -2    2    2
    1    1    0.11647286E-01 -0.14123184E-16
    2    1   -0.35022562E-02  0.26662492E-09
    3    1   -0.35022557E-02 -0.13640334E-08
    4    1   -0.35022554E-02  0.14873152E-09
    1    2   -0.35022562E-02 -0.26662493E-09
    2    2    0.11647286E-01  0.43339531E-16
    3    2   -0.35022556E-02  0.59006987E-09
    4    2   -0.35022555E-02  0.86230902E-09
    1    3   -0.35022557E-02  0.13640334E-08
    2    3   -0.35022556E-02 -0.59006990E-09
    3    3    0.11647286E-01  0.31575991E-16
    4    3   -0.35022564E-02 -0.11935484E-09
    1    4   -0.35022554E-02 -0.14873152E-09
    2    4   -0.35022555E-02 -0.86230902E-09
    3    4   -0.35022564E-02  0.11935487E-09
    4    4    0.11647286E-01 -0.58599240E-16

   -1   -2    1
    1    1    0.15749602E-01 -0.54436031E-09
    2    1   -0.19883023E-02  0.48861585E-09
    3    1    0.15396614E-02  0.14323549E-09
    4    1   -0.79546415E-02 -0.16936015E-10
